Person1,Aspect,Person2,Score,Harmonious Keyword,Compatibility Category,Challenges Keyword,Incompatibility Category
First_House,0,First_House,2,Personality Traits,Interaction,,
First_House,0,First_House,2,Effective Communication,Interaction,,
First_House,0,First_House,2,Openness,Interaction,,
First_House,60,First_House,1,Personality Traits,Interaction,,
First_House,60,First_House,1,Acceptance,Respect,,
First_House,90,First_House,-2,,,Ego Clash,Interaction
First_House,90,First_House,-2,,,Differing Goals,Intellectual_Connection
First_House,90,First_House,-2,,,Frequent Disagreements,Interaction
First_House,90,First_House,-2,,,Lack of Chemistry,Emotional_Connection
First_House,120,First_House,2,Personality Traits,Interaction,,
First_House,120,First_House,2,Acceptance,Respect,,
First_House,120,First_House,2,Effective Communication,Interaction,,
First_House,180,First_House,3,Time Together,Commitment,,
First_House,180,First_House,3,Personality Traits,Interaction,,
First_House,180,First_House,3,Engaging Conversations,Interaction,,
First_House,180,First_House,3,Openness,Interaction,,
First_House,0,Sun,3,Acceptance,Respect,,
First_House,0,Sun,3,Mutual Respect,Respect,,
First_House,0,Sun,3,Honesty,Sincerity,,
First_House,0,Sun,3,Personality Traits,Interaction,,
First_House,60,Sun,2,Effective Communication,Interaction,,
First_House,60,Sun,2,Shared Values,Intellectual_Connection,,
First_House,90,Sun,-2,,,Unwillingness to Change,Commitment
First_House,90,Sun,-2,,,Ego Clash,Interaction
First_House,90,Sun,-2,,,Differing Interests,Intellectual_Connection
First_House,90,Sun,-2,,,Differing Goals,Intellectual_Connection
First_House,90,Sun,-2,,,Differing Values,Intellectual_Connection
First_House,90,Sun,-2,,,Frequent Disagreements,Interaction
First_House,90,Sun,-2,Independence,Emotional_Connection,,
First_House,120,Sun,3,Time Together,Commitment,,
First_House,120,Sun,3,Mutual Respect,Respect,,
First_House,120,Sun,3,Gratitude,Sincerity,,
First_House,120,Sun,3,Personality Traits,Interaction,,
First_House,120,Sun,3,Trust,Commitment,,
First_House,120,Sun,3,Shared Values,Intellectual_Connection,,
First_House,180,Sun,4,Forgiveness,Respect,,
First_House,180,Sun,4,Acceptance,Respect,,
First_House,180,Sun,4,Time Together,Commitment,,
First_House,180,Sun,4,Chemistry,Emotional_Connection,,
First_House,180,Sun,4,Shared Goals,Intellectual_Connection,,
First_House,180,Sun,4,Boundaries,Respect,,
First_House,180,Sun,4,Loyalty,Sincerity,,
First_House,0,Moon,4,Loyalty,Sincerity,,
First_House,0,Moon,4,Gratitude,Sincerity,,
First_House,0,Moon,4,Empathy,Emotional_Connection,,
First_House,0,Moon,4,Chemistry,Emotional_Connection,,
First_House,0,Moon,4,Acceptance,Respect,,
First_House,0,Moon,4,Mutual Support,Emotional_Connection,,
First_House,60,Moon,2,Trust,Commitment,,
First_House,60,Moon,2,Forgiveness,Respect,,
First_House,90,Moon,-1,,,Codependency,Emotional_Connection
First_House,90,Moon,-1,,,Lack of Chemistry,Emotional_Connection
First_House,90,Moon,-1,,,Indifference,Emotional_Connection
First_House,90,Moon,-1,,,Fragility,Commitment
First_House,90,Moon,-1,,,Reserved,Interaction
First_House,120,Moon,3,Time Together,Commitment,,
First_House,120,Moon,3,Trust,Commitment,,
First_House,120,Moon,3,Forgiveness,Respect,,
First_House,120,Moon,3,Chemistry,Emotional_Connection,,
First_House,120,Moon,3,,,Codependency,Emotional_Connection
First_House,180,Moon,4,Time Together,Commitment,,
First_House,180,Moon,4,Loyalty,Sincerity,,
First_House,180,Moon,4,Honesty,Sincerity,,
First_House,180,Moon,4,Gratitude,Sincerity,,
First_House,180,Moon,4,Chemistry,Emotional_Connection,,
First_House,180,Moon,4,Adaptability,Commitment,,
First_House,180,Moon,4,Acceptance,Respect,,
First_House,0,Mercury,2,Engaging Conversations,Interaction,,
First_House,0,Mercury,2,Shared Interests,Intellectual_Connection,,
First_House,0,Mercury,2,Sense of Humor,Intellectual_Connection,,
First_House,0,Mercury,2,Effective Communication,Interaction,,
First_House,60,Mercury,2,Shared Interests,Intellectual_Connection,,
First_House,60,Mercury,2,Conflict Resolution,Interaction,,
First_House,90,Mercury,-2,,,Criticism,Respect
First_House,90,Mercury,-2,,,Differing Interests,Intellectual_Connection
First_House,90,Mercury,-2,,,Frequent Disagreements,Interaction
First_House,90,Mercury,-2,,,Differing Sense of Humor,Intellectual_Connection
First_House,120,Mercury,2,Openness,Interaction,,
First_House,120,Mercury,2,Sense of Humor,Intellectual_Connection,,
First_House,120,Mercury,2,Effective Communication,Interaction,,
First_House,180,Mercury,2,Adaptability,Commitment,,
First_House,180,Mercury,2,Engaging Conversations,Interaction,,
First_House,180,Mercury,2,Shared Interests,Intellectual_Connection,,
First_House,0,Venus,2,Time Together,Commitment,,
First_House,0,Venus,2,Personality Traits,Interaction,,
First_House,0,Venus,2,Chemistry,Emotional_Connection,,
First_House,60,Venus,2,Shared Values,Intellectual_Connection,,
First_House,60,Venus,2,Time Together,Commitment,,
First_House,60,Venus,2,Personality Traits,Interaction,,
First_House,90,Venus,-2,,,Differing Values,Intellectual_Connection
First_House,90,Venus,-2,,,Indifference,Emotional_Connection
First_House,90,Venus,-2,,,Differing Interests,Intellectual_Connection
First_House,120,Venus,2,Shared Values,Intellectual_Connection,,
First_House,120,Venus,2,Personality Traits,Interaction,,
First_House,180,Venus,2,Time Together,Commitment,,
First_House,180,Venus,2,Mutual Respect,Respect,,
First_House,180,Venus,2,Gratitude,Sincerity,,
First_House,0,Mars,3,Mutual Support,Emotional_Connection,,
First_House,0,Mars,3,Resilience,Commitment,,
First_House,0,Mars,3,Independence,Emotional_Connection,,
First_House,0,Mars,3,Honesty,Sincerity,,
First_House,0,Mars,3,,,Ego Clash,Interaction
First_House,60,Mars,2,Independence,Emotional_Connection,,
First_House,60,Mars,2,Honesty,Sincerity,,
First_House,90,Mars,-3,,,Frequent Disagreements,Interaction
First_House,90,Mars,-3,,,Jealousy and Competition,Sincerity
First_House,90,Mars,-3,,,Conflict Resolution,Interaction
First_House,90,Mars,-3,,,Lack for Consideration,Respect
First_House,120,Mars,2,Resilience,Commitment,,
First_House,120,Mars,2,Independence,Emotional_Connection,,
First_House,120,Mars,2,Honesty,Sincerity,,
First_House,180,Mars,2,Honesty,Sincerity,,
First_House,180,Mars,2,Independence,Emotional_Connection,,
First_House,180,Mars,2,Resilience,Commitment,,
First_House,0,Jupiter,2,Gratitude,Sincerity,,
First_House,0,Jupiter,2,Forgiveness,Respect,,
First_House,0,Jupiter,2,Adaptability,Commitment,,
First_House,60,Jupiter,2,Forgiveness,Respect,,
First_House,60,Jupiter,2,Adaptability,Commitment,,
First_House,60,Jupiter,2,Openness,Interaction,,
First_House,90,Jupiter,-1,,,Reserved,Interaction
First_House,120,Jupiter,2,Forgiveness,Respect,,
First_House,120,Jupiter,2,Adaptability,Commitment,,
First_House,120,Jupiter,2,Openness,Interaction,,
First_House,180,Jupiter,2,Forgiveness,Respect,,
First_House,180,Jupiter,2,Adaptability,Commitment,,
First_House,180,Jupiter,2,Openness,Interaction,,
First_House,0,Saturn,2,Trust,Commitment,,
First_House,0,Saturn,2,Resilience,Commitment,,
First_House,0,Saturn,2,Loyalty,Sincerity,,
First_House,60,Saturn,2,Honesty,Sincerity,,
First_House,60,Saturn,2,Trust,Commitment,,
First_House,90,Saturn,-3,,,Conflict Resolution,Interaction
First_House,90,Saturn,-3,,,Lack of Chemistry,Emotional_Connection
First_House,90,Saturn,-3,,,Criticism,Respect
First_House,90,Saturn,-3,,,Differing Sense of Humor,Intellectual_Connection
First_House,90,Saturn,-3,,,Resentment,Respect
First_House,120,Saturn,2,Honesty,Sincerity,,
First_House,120,Saturn,2,Trust,Commitment,,
First_House,180,Saturn,2,Resilience,Commitment,,
First_House,0,Uranus,1,Equality,Sincerity,,
First_House,0,Uranus,1,Shared Values,Intellectual_Connection,,
First_House,60,Uranus,1,Adaptability,Commitment,,
First_House,60,Uranus,1,Shared Values,Intellectual_Connection,,
First_House,90,Uranus,-1,,,Differing Values,Intellectual_Connection
First_House,90,Uranus,-1,,,Lack of Trust,Commitment
First_House,90,Uranus,-1,,,Neglect,Commitment
First_House,120,Uranus,1,Adaptability,Commitment,,
First_House,120,Uranus,1,Shared Values,Intellectual_Connection,,
First_House,180,Uranus,1,Adaptability,Commitment,,
First_House,0,Neptune,-1,,,Dishonesty,Sincerity
First_House,60,Neptune,1,Shared Values,Intellectual_Connection,,
First_House,60,Neptune,1,Acceptance,Respect,,
First_House,60,Neptune,1,,,Fragility,Commitment
First_House,90,Neptune,-1,,,Lack of Trust,Commitment
First_House,90,Neptune,-1,,,Unresponsive Interactions,Interaction
First_House,90,Neptune,-1,,,Resentment,Respect
First_House,90,Neptune,-1,,,Betrayals,Sincerity
First_House,90,Neptune,-1,,,Dishonesty,Sincerity
First_House,90,Neptune,-1,,,Differing Values,Intellectual_Connection
First_House,120,Neptune,1,Shared Values,Intellectual_Connection,,
First_House,120,Neptune,1,Acceptance,Respect,,
First_House,180,Neptune,1,Adaptability,Commitment,,
First_House,90,Pluto,-3,,,Betrayals,Sincerity
First_House,90,Pluto,-3,,,Resentment,Respect
First_House,90,Pluto,-3,,,Disregard for Boundaries,Respect
First_House,90,Pluto,-3,,,Dishonesty,Sincerity
First_House,90,Pluto,-3,,,Jealousy and Competition,Sincerity
First_House,90,Pluto,-3,,,Lack for Consideration,Respect
First_House,90,Pluto,-3,,,Manipulation and Control,Sincerity
First_House,180,Pluto,-2,,,Resentment,Respect
